Address,Vote,TotalYOU,youInWallet,youInStakinguUSDPool,youInStakinguDEFIPool,youInStakinguBTCPool,youInQuipuswapPool,youInPlentyPool,youInUusdPool
tz1TQxmf4irW6xBNfa6Seg2KytMwDvJtiktn,1,25835484100000000,0,25835484100000000,0,0,0,0,0
tz1ZKwZP7CKmyxz8JmLCQJaiD4kFcgvEG2Sp,1,6609876360350126.79720525615026435497,19782889932709,3045599000000000,0,0,0,0,3544494470417417.79720525615026435497
tz1NEHwkV74mFgfXZL7twQrKWSCc1py3E9mU,1,2933686282062008,82062008,246685900000000,0,2687000300000000,0,0,0
tz1Z15qCAbWvqizZtoCyZNbqt1upY3w6Qrgy,1,19744359766413223,108683566413223,19635676200000000,0,0,0,0,0
tz1UoKspWJewRU9ZPzeL3qR4gjfcGGX5gRiV,1,49205759418382270.07518977205101408094,96119751602417,0,19175889800000000,0,0,0,29933749866779853.07518977205101408094
tz1RCcoPQg8NPojtZBdFQmbZFqqasWUk8Yep,1,1053362733071005.11499556706611723029,33071005,0,0,1053362700000000,0,0.11499556706611723029,0
tz1PMB2EKqwkD2NDuf9tvdqhEjhBy3pBGQKX,1,0,0,0,0,0,0,0,0
tz1dghi1QtW2ATgLjWEw6agacKXQifkZSNA3,1,177486378514666,43388075172,0,0,177442990439494,0,0,0
tz1XYkmAHtkZFjZLdWNoL2BTqUws4oD4H1PR,1,916408289376626.11574386309637007808,51528208443608,0,0,0,0,0,864880080933018.11574386309637007808
tz1XiWdicvZG3iMCWYqggTqXJpHXzbgkm4ux,1,340781762777820.19684869952059437952,40762205526,0,0,0,0,0,340741000572294.19684869952059437952
tz1VTFBKGGD65Cgdcf92piJo3BbMmjuDbf6R,1,16426682959230313.71127611380727050955,59230310,16426682900000000,0,0,0,0,3.71127611380727050955
tz1YWAhTgqbBfB3m55ykmix3KFqn4BWHPnab,1,130544437698997262.78592920640613912158,701437698997256,49746000000000000,0,80097000000000000,0,0.2919681173919193229,6.49396108901421979868
tz1Y4cGsQd26rAkCxegZvUunnvfXxJvDNSmF,1,4718168918731137,77378305842,4718091540425295,0,0,0,0,0
tz1P4cNkdhXSBSVWNRcr5kDcW6Yh9LEa3pLh,1,3014464033369217.44569352059400561949,33369215,3014464000000000,0,0,0,2.44569352059400561949,0
tz1U9oK3i4ohDkVZynufsNuuZT7HDsfJVgx1,1,15607347922681763,22681763,15607347900000000,0,0,0,0,0
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,1,1660306346181280.86219123454357989886,93036114,1409535600000000,0,0,0,13741404715194.46892507396438456203,237029248429972.39326616057919533683
tz1d4649CmmMEzXBWzhTgTkFxy9ATNhb5HC3,1,28896918295274.0171597510653850596,3316818295274,25580100000000,0,0,0,0.0171597510653850596,0
tz1ftLjmDiHbfZxHVpZfzdugGUscUCxKavbJ,1,141995496214346,2511098,141995493703248,0,0,0,0,0
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,1,1329738646798835.36575954140000265021,1329738646798827,0,0,0,0,0.0156456553831452014,8.35011388601685744881
tz1THJA9U7BwPBF1raQ5cgBX5kpjFE9AKftH,1,10752162883651812,2883651812,10752160000000000,0,0,0,0,0
tz1dx13MqhxT93z5JWoFgHuaRbGAvkt3a1p1,1,8084791035854,91035854,8084700000000,0,0,0,0,0
tz1NrXAc1TcHZhqP3iafzvAH6TnuFSc7Fnjk,1,11449083043452465.42152274741653622839,43452458,0,3878420500000000,7570662500000000,0,0,7.42152274741653622839
tz1N33TtiYBQ67sw32rhCsMSVpZkrSHWe9aq,1,4016557484758661.61904014100646746544,84758653,0,4016557400000000,0,0,8.61904014100646746544,0
tz1QanPT1sMCTEqesxbySgWX2fwzpsSwDAa1,1,93262512644223,844341975,93261668302248,0,0,0,0,0
tz1iePyxuzpM2YQryaHnFNqp8UzXpdEehJSZ,1,174872624334475.57159916558876005101,11701284357020,0,0,0,0,0,163171339977455.57159916558876005101
tz1aCGsujupLsLWEiakxuM36JcbSdxkis7a8,1,9677416719073943,551419073943,9547965300000000,1000000000000,127900000000000,0,0,0
tz1SraYbcCskcKKak9xoo6cFCL78SMZ4wVwV,1,5362190741690556.16686469264801229274,46280727,0,0,919863000000000,0,0,4442327695409829.16686469264801229274
tz1NEoL5WJx89E3tJMJQY8mRVeuYqtbBfpmr,1,779091692277,5085275957,774006416320,0,0,0,0,0
tz1dexUB1VgBk2576bFYcnd6QELuw4QajnJM,1,27077887420703192.37643095546017358071,30067949909,1811000000000000,0,19246000000000000,0,0,6020857352753283.37643095546017358071
tz1ZKAeBPY629Kbneiq9jV1tBasVmwLwttFp,1,0,0,0,0,0,0,0,0
tz1Q9dohKGFBggZPDzRwmzXSVrbb4DWnCy5w,1,0,0,0,0,0,0,0,0
tz1WH8q1pXgfrRZQFHu8943JuQyTXQgBWb5G,1,58455219303759172,56060303759172,58399159000000000,0,0,0,0,0
tz1UVbZj97XFLZfvXGF6i1UcodUCqdontCJZ,1,870011078780527,35278780527,869975800000000,0,0,0,0,0
tz1RZiF2GQTsSHrnxZhUpYSfZBvnmTYEPaHW,1,13720545114569,45114569,4858700000000,0,8861800000000,0,0,0
tz1cjvvhAGDoUXwqEaRLfdoFA5HGo7dU9Pet,1,1037619954123755.15912625584651592578,79776075,876971436225851,0,0,0,0,160648438121829.15912625584651592578
tz1bBkoYeN1KLDWAYQDRT7UZQfSJem22J5SF,1,92309450610259481,58061677,92309450552197804,0,0,0,0,0
tz1huCEjtBzbYCwqAGNtt1QHS2pbBu72w6cg,1,27303447984023070.55235471249260366326,75204153,25872495408818911,0,1430952500000000,0,0.05839362347838386458,6.49396108901421979868
tz1MdSsDBG8k8q1pxZrdpSC2Aw49ukFs8ACy,1,27724149503628812.9426393999487858609,1593003484334,25694207000000000,0,0,0,0,2028349500144478.9426393999487858609
tz1VYa9SB4LtsHLWZnJXc1JuL7wuX46orE2Z,1,2000367463709114,63709114,2000367400000000,0,0,0,0,0
tz1ffTkawPaEkwF8f2KepsiEzzprjErJVnTy,1,157915564278388,64278388,157915500000000,0,0,0,0,0
tz1Ma54cPMcobQKkqAP1STzv3YtdY4w525Zh,1,12074270272159789,72159789,0,0,12074270200000000,0,0,0
tz1YRG68NdqtAcsFEwTUw6FsSsiBb5kagEDo,1,6966038653166574.26104464127914086223,19759609865328,435186400000000,0,6449427800000000,0,61664843301246.26104464127914086223,0
tz1VwoDxLBarwvM7KZXJRem1DZmefdYKpstk,1,37162569376294.26265042417988604327,36044592104088,1000000000000,0,0,35255272929.22758946457911925376,0,82721999277.03506095960076678951
Total votes YES,43
Total votes NO,0
Total YOU YES,577850914846864182.82126566156762495682
Total YOU NO,0
Total YOU VOTED,577850914846864182.82126566156762495682
