Address,Vote,TotalYOU,youInUnifiedStakingPool
tz1QanPT1sMCTEqesxbySgWX2fwzpsSwDAa1,1,73517794804674,73517794804674
tz1Qe6FJ79SJ2DSNbiNUUsKwaFzJjiJoSALq,1,38211636670504122,38211636670504122
tz1RCq8SjPnucWqCJJraeHkZMLVgvR8DxBzr,1,445503290025019,445503290025019
tz1dx13MqhxT93z5JWoFgHuaRbGAvkt3a1p1,1,13856728814960,13856728814960
tz1ZKwZP7CKmyxz8JmLCQJaiD4kFcgvEG2Sp,1,13323599341472996,13323599341472996
tz1aCGsujupLsLWEiakxuM36JcbSdxkis7a8,1,13311450468972277,13311450468972277
tz1hv3sZs4F8MgQSVzzj3HYbTGoeFQu3fH9k,1,93910114318857192,93910114318857192
tz1Z15qCAbWvqizZtoCyZNbqt1upY3w6Qrgy,1,57557917735597160,57557917735597160
tz1UoKspWJewRU9ZPzeL3qR4gjfcGGX5gRiV,1,57451990854517768,57451990854517768
tz1YRG68NdqtAcsFEwTUw6FsSsiBb5kagEDo,1,9759138121675778,9759138121675778
tz1huCEjtBzbYCwqAGNtt1QHS2pbBu72w6cg,1,45883005961903003,45883005961903003
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,1,2088101928007293,2088101928007293
tz1R92cMo5oBzFCDU5VsbPLYqhx6QgTFbnhx,1,1169574488096232,1169574488096232
tz1TxxiRh28guikSX5LRiJkBunkgZi9QJz4c,1,11749671473301964,11749671473301964
tz1bFuhdixMpua1nWsBygcgNDzxybnnc2NXv,1,0,0
tz1MdSsDBG8k8q1pxZrdpSC2Aw49ukFs8ACy,1,65703190103996978,65703190103996978
tz1ZeRsv3qTfoKAzfaJLSGtqXpnJeUTM8BHg,1,9372616997508615,9372616997508615
tz1UFF5DSDDtk3fM1ewaLvVG6fhaAeCdgYEt,1,109476538557,109476538557
tz1X2debvxGtmv1px96EHCXZemHFr2kEZner,0,3173606331286519,3173606331286519
tz1QEJVYgWPc4PLujFXUpRy6KLCUjLQZjfNH,1,0,0
tz2RK4bpYrBfAWT3d9VCFhqS6nsam5Nxg5K7,1,1138951056592,1138951056592
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,1,844170597120014,844170597120014
tz1L9e6fbQfMRkHtci9DrwniAktp8nZPonsV,1,1349919395792195,1349919395792195
tz1Ma54cPMcobQKkqAP1STzv3YtdY4w525Zh,1,21201897563783339,21201897563783339
tz1TQxmf4irW6xBNfa6Seg2KytMwDvJtiktn,1,92171067538749922,92171067538749922
tz1ZFMwNB6jvvjKwrEqGoSkC6PzvP28SyEH4,1,3671871701174363,3671871701174363
tz1VUAhWPnigTcWk25WigTxayuPgLjZZGCMw,1,96898924166505,96898924166505
tz2QsFnQqYizavEKgsDtLmYTSZ8RjGraMP4C,1,203970351753612,203970351753612
tz1RfFpMfew5sz7iQkt1X7VbswP7dFmtzutD,1,2462308946802597,2462308946802597
tz1afYUfaKDigXomGRiH69XWmZucZf9eGnj2,1,6656567744963366,6656567744963366
tz1heiihbfKE4J4etuU9rXvbQknXnkszNugA,1,1091439807271788,1091439807271788
tz1fv6Na5vy8ecSV3rQrWv2hdGoFgiwUP6TD,1,470301748408861361,470301748408861361
tz1VTFBKGGD65Cgdcf92piJo3BbMmjuDbf6R,1,11264454240141144,11264454240141144
tz1THJA9U7BwPBF1raQ5cgBX5kpjFE9AKftH,1,21484830922757932,21484830922757932
tz1YWAhTgqbBfB3m55ykmix3KFqn4BWHPnab,1,128681358059964668,128681358059964668
tz1WH8q1pXgfrRZQFHu8943JuQyTXQgBWb5G,1,142303219944398178,142303219944398178
tz1VYa9SB4LtsHLWZnJXc1JuL7wuX46orE2Z,1,11168544966891873,11168544966891873
tz1dBU7YAkrviDyUvZN5aeTZJ9YrmtaDADMG,1,65024465490274816,65024465490274816
tz1iaQ5a6d76tu1JaQvaXeAP6rMDeaDR3Fzc,1,8354154417189836,8354154417189836
tz1eQgM29oNTHVPzqppWvQSs43zpspkpdfYv,1,0,0
tz1WVMmKYeDChF5nssUd5x3Mhc6kzqTeJ5C9,1,132635497886313668,132635497886313668
tz1YSvD1TBXdUqBtmvprGodwnrTjHuUhaT47,1,7665853619156326,7665853619156326
tz2PSYagVxSVNd46LgNrxJeJSr6XZBbCwVD4,1,1526317184226973,1526317184226973
tz1dexUB1VgBk2576bFYcnd6QELuw4QajnJM,1,32521331338162427,32521331338162427
tz1V28Zqfftk8o6ehc5UdJPzuyZW99yJ4Gj5,1,0,0
Total votes YES,44
Total votes NO,1
Total YOU YES,1582708023755568083
Total YOU NO,3173606331286519
Total YOU VOTED,1585881630086854602
